Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen
265.000 TL;Peugeot;206;1.4 HDi Desire;2005.0;295.177 km;Düz;50 lt;Gri;1398 cc;71 hp;Hatchback/5;2 değişen, 1 boyalı
1.265.000 TL;Peugeot;308;1.5 BlueHDI Style Tech;2020.0;60.886 km;Otomatik;53 lt;Beyaz;1499 cc;132 hp;Hatchback/5;Tamamı orjinal
330.000 TL;Peugeot;206;1.4 Executive;2008.0;150.000 km;Düz;LPG & Benzin;Siyah;;;Sedan;1 değişen, 3 boyalı
1.500.000 TL;Peugeot;508;1.5 BlueHDI Allure;2020.0;153.000 km;Otomatik;55 lt;Gri (metalik);1499 cc;130 hp;Sedan;Tamamı orjinal
835.000 TL;Peugeot;308;1.6 e-HDi Classic Edition Plus;2016.0;171.000 km;Düz;53 lt;Beyaz;1560 cc;116 hp;Hatchback/5;Belirtilmemiş
405.000 TL;Peugeot;206;1.4 HDi Comfort;2011.0;122.000 km;Düz;50 lt;Beyaz;1398 cc;71 hp;Sedan;1 değişen, 3 boyalı
410.000 TL;Peugeot;207;1.4 HDi Premium;2006.0;262.000 km;Düz;50 lt;Mavi (metalik);1398 cc;71 hp;Hatchback/5;2 boyalı
250.000 TL;Peugeot;206;1.4 Comfort;2009.0;180.000 km;Düz;50 lt;Kırmızı;1360 cc;76 hp;Sedan;1 değişen, 12 boyalı
420.000 TL;Peugeot;308;1.6 HDi Comfort;2010.0;278.000 km;Yarı Otomatik;60 lt;Füme;1560 cc;112 hp;Hatchback/5;Tamamı boyalı
410.000 TL;Peugeot;407;1.6 HDi Comfort;2006.0;395.000 km;Düz;66 lt;Gri (Gümüş);1560 cc;112 hp;Sedan;Belirtilmemiş
248.000 TL;Peugeot;206;1.4 HDi X-line;2004.0;310.000 km;Düz;50 lt;Bordo;1398 cc;71 hp;Hatchback/5;Tamamı boyalı
400.000 TL;Peugeot;307;1.4 XR;2004.0;268.000 km;Otomatik;LPG & Benzin;Gri (Gümüş);;;Hatchback/5;3 boyalı
670.000 TL;Peugeot;301;1.5 BlueHDI Active;2019.0;199.300 km;Düz;50 lt;Beyaz;1499 cc;102 hp;Sedan;1 değişen, 2 boyalı
575.000 TL;Peugeot;207;1.4 Envy;2011.0;195.000 km;Düz;50 lt;Beyaz;1360 cc;76 hp;Hatchback/5;1 değişen, 1 boyalı
299.950 TL;Peugeot;307;1.4 HDi Profil;2003.0;242.000 km;Düz;60 lt;Şampanya;1398 cc;69 hp;Hatchback/5;Belirtilmemiş
625.000 TL;Peugeot;508;1.6 e-HDi Active;2012.0;365.000 km;Yarı Otomatik;72 lt;Gri;1560 cc;114 hp;Sedan;Belirtilmemiş
550.000 TL;Peugeot;301;1.6 HDi Active;2014.0;256.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;3 değişen, 5 boyalı
600.000 TL;Peugeot;308;1.6 HDi Active;2011.0;279.000 km;Düz;60 lt;Gri;1560 cc;93 hp;Hatchback/5;Belirtilmemiş
580.000 TL;Peugeot;207;1.4 HDi Trendy;2007.0;286.000 km;Düz;50 lt;Kırmızı;1398 cc;71 hp;Hatchback/5;Belirtilmemiş
660.000 TL;Peugeot;508;1.6 VTi Access;2011.0;232.000 km;Yarı Otomatik;72 lt;Gri (metalik);1598 cc;122 hp;Sedan;3 boyalı
650.000 TL;Peugeot;301;1.6 HDi Active;2014.0;170.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;1 değişen, 8 boyalı
385.000 TL;Peugeot;307;1.4 HDi XR;2004.0;255.000 km;Düz;60 lt;Gri (Gümüş);1398 cc;69 hp;Hatchback/5;2 değişen, 4 boyalı
460.000 TL;Peugeot;207;1.4 HDi Trendy;2007.0;232.000 km;Düz;50 lt;Siyah;1398 cc;71 hp;Hatchback/5;2 boyalı
520.000 TL;Peugeot;207;1.4 HDi Comfort;2009.0;196.000 km;Düz;50 lt;Siyah;1398 cc;71 hp;Hatchback/5;1 değişen, 2 boyalı
815.000 TL;Peugeot;301;1.6 HDi Active;2017.0;130.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;Tamamı orjinal
350.000 TL;Peugeot;206;1.4 X-Line;2005.0;293.000 km;Otomatik;50 lt;Mavi (metalik);1360 cc;76 hp;Hatchback/5;12 boyalı
580.000 TL;Peugeot;207;1.4 HDi Trendy;2011.0;248.000 km;Düz;50 lt;Siyah;1360 cc;71 hp;Hatchback/5;Belirtilmemiş
385.000 TL;Peugeot;206+;1.4 Comfort;2010.0;250.000 km;Düz;50 lt;Füme;1360 cc;76 hp;Hatchback/5;1 değişen, 4 boyalı
490.000 TL;Peugeot;207;1.4 VTi Trendy;2008.0;159.000 km;Yarı Otomatik;50 lt;Siyah;1360 cc;91 hp;Hatchback/5;1 değişen, 11 boyalı
260.000 TL;Peugeot;307;1.6 Envy;2004.0;286.000 km;Düz;60 lt;Gri;1587 cc;110 hp;Hatchback/5;Belirtilmemiş
1.035.000 TL;Peugeot;308;1.6 BlueHdi Allure;2017.0;113.000 km;Otomatik;53 lt;Kırmızı;1560 cc;122 hp;Hatchback/5;1 değişen, 1 boyalı
425.000 TL;Peugeot;308;1.6 HDi Comfort;2009.0;244.000 km;Düz;Dizel;Gri;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;2 değişen, 3 boyalı
529.000 TL;Peugeot;208;1.4 HDi Access;2012.0;265.000 km;Düz;50 lt;Gri;1398 cc;69 hp;Hatchback/5;4 boyalı
598.500 TL;Peugeot;208;1.4 HDi Active;2015.0;240.000 km;Düz;Dizel;Beyaz;1201 - 1400 cm3;51 - 75 HP;Hatchback/5;2 boyalı
775.000 TL;Peugeot;208;1.2 PureTech Access;2016.0;103.000 km;Otomatik;Benzin;Beyaz;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Belirtilmemiş
1.315.000 TL;Peugeot;208;1.2 PureTech GT;2021.0;86.459 km;Otomatik;44 lt;Gri;1199 cc;132 hp;Hatchback/5;Tamamı orjinal
1.199.900 TL;Peugeot;208;1.2 PureTech Active Prime;2023.0;43.000 km;Otomatik;44 lt;Sarı;1199 cc;101 hp;Hatchback/5;Belirtilmemiş
339.750 TL;Peugeot;208;1.4 HDi Active;2012.0;330.000 km;Düz;50 lt;Beyaz;1398 cc;69 hp;Hatchback/5;11 boyalı
285.000 TL;Peugeot;206;1.4 X-Line;2003.0;230.000 km;Düz;50 lt;Gri;1360 cc;76 hp;Hatchback/5;1 değişen
319.000 TL;Peugeot;206;1.4 X-Design;2006.0;230.000 km;Düz;50 lt;Beyaz;1360 cc;76 hp;Station wagon;1 değişen, 6 boyalı
1.130.000 TL;Peugeot;508;1.6 e-HDi Access;2015.0;91.500 km;Otomatik;Dizel;Siyah;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
885.000 TL;Peugeot;508;1.6 e-HDi Active;2011.0;220.000 km;Otomatik;Dizel;Gri;1401 - 1600 cm3;101 - 125 HP;Station wagon;Tamamı orjinal
1.799.000 TL;Peugeot;508;1.5 BlueHDI Allure;2023.0;52.000 km;Otomatik;Dizel;Gri;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
2.190.000 TL;Peugeot;508;1.5 BlueHDI GT;2024.0;61.000 km;Otomatik;55 lt;Füme;1499 cc;130 hp;Sedan;Tamamı orjinal
1.565.000 TL;Peugeot;508;1.5 BlueHDI Allure;2019.0;115.000 km;Otomatik;55 lt;Füme;1499 cc;130 hp;Sedan;Tamamı orjinal
1.170.000 TL;Peugeot;308;1.6 BlueHdi Allure;2017.0;103.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
425.000 TL;Peugeot;301;1.6 HDi Access;2016.0;330.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;Tamamı orjinal
550.000 TL;Peugeot;301;1.6 BlueHDI Active;2018.0;160.000 km;Düz;50 lt;Beyaz;1560 cc;102 hp;Sedan;Tamamı orjinal
765.000 TL;Peugeot;301;1.6 BlueHDI Active;2018.0;127.290 km;Düz;50 lt;Beyaz;1560 cc;102 hp;Sedan;Belirtilmemiş
1.095.000 TL;Peugeot;308;1.6 BlueHdi Active;2015.0;98.000 km;Otomatik;53 lt;Gri;1560 cc;122 hp;Hatchback/5;1 boyalı
615.000 TL;Peugeot;301;1.5 BlueHDI Active;2020.0;202.000 km;Düz;Dizel;Beyaz;1401 - 1600 cm3;76 - 100 HP;Sedan;1 değişen, 3 boyalı
735.000 TL;Peugeot;301;1.5 BlueHDI Active;2020.0;218.000 km;Düz;Dizel;Gri;1401 - 1600 cm3;76 - 100 HP;Sedan;Belirtilmemiş
525.000 TL;Peugeot;301;1.2 VTi Active;2013.0;150.350 km;Düz;50 lt;Beyaz;1199 cc;73 hp;Sedan;1 değişen, 1 boyalı
670.000 TL;Peugeot;301;1.2 PureTech Active;2019.0;85.000 km;Düz;Benzin;Beyaz;1200 cm3' e kadar;76 - 100 HP;Sedan;2 boyalı
649.500 TL;Peugeot;207;1.6 VTi Dynamic;2009.0;128.500 km;Otomatik;50 lt;Siyah;1587 cc;122 hp;Hatchback/5;2 değişen, 5 boyalı
595.000 TL;Peugeot;207;1.6 HDi Outdoor;2012.0;174.000 km;Düz;50 lt;Füme;1560 cc;93 hp;Station wagon;Tamamı orjinal
543.000 TL;Peugeot;301;1.2 PureTech Active;2019.0;117.000 km;Düz;Benzin;Beyaz;1200 cm3' e kadar;76 - 100 HP;Sedan;3 değişen
600.000 TL;Peugeot;301;1.5 BlueHDI Active;2019.0;240.000 km;Düz;50 lt;Beyaz;1499 cc;102 hp;Sedan;Tamamı orjinal
610.000 TL;Peugeot;107;1.0 Urban Move;2011.0;62.425 km;Yarı Otomatik;35 lt;Siyah;998 cc;69 hp;Hatchback/5;Tamamı orjinal
355.000 TL;Peugeot;106;GTI;1997.0;147.000 km;Düz;45 lt;Beyaz;1587 cc;120 hp;Hatchback/3;Tamamı orjinal
865.000 TL;Peugeot;508;1.6 VTi Access;2012.0;90.000 km;Yarı Otomatik;72 lt;Gri;1598 cc;122 hp;Sedan;1 değişen, 3 boyalı
215.000 TL;Peugeot;206;1.4 HDi X-line;2006.0;326.230 km;Düz;50 lt;Beyaz;1398 cc;69 hp;Station wagon;6 değişen, 4 boyalı
940.000 TL;Peugeot;RCZ;1.6 THP Yearling;2011.0;125.000 km;Otomatik;55 lt;Beyaz;1598 cc;158 hp;Coupe;2 boyalı
1.350.000 TL;Peugeot;508;1.6 Puretech Prime;2020.0;57.000 km;Otomatik;62 lt;Gri;1598 cc;180 hp;Sedan;Tamamı orjinal
285.000 TL;Peugeot;307;1.6 XS;2002.0;220.000 km;Düz;60 lt;Mavi;1587 cc;110 hp;Hatchback/3;Tamamı orjinal
419.000 TL;Peugeot;307;1.6 Pack;2004.0;223.500 km;Düz;60 lt;Şampanya;1587 cc;110 hp;Hatchback/5;Tamamı orjinal
400.000 TL;Peugeot;307;1.6 XT;2006.0;325.000 km;Düz;LPG & Benzin;Mavi;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;2 boyalı
330.000 TL;Peugeot;406;2.0 SV;2000.0;332.000 km;Otomatik;LPG & Benzin;Mavi;1801 - 2000 cm3;126 - 150 HP;Sedan;12 boyalı
400.000 TL;Peugeot;307;1.6 XT;2004.0;193.000 km;Düz;Benzin;Siyah;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;5 boyalı
349.000 TL;Peugeot;307;1.6 XT;2003.0;307.000 km;Otomatik;LPG & Benzin;Gri;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
745.000 TL;Peugeot;301;1.6 HDi Allure;2015.0;60.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;Tamamı orjinal
745.000 TL;Peugeot;301;1.6 HDi Allure;2013.0;85.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;4 boyalı
755.000 TL;Peugeot;301;1.6 HDi Allure;2017.0;156.000 km;Düz;Dizel;Beyaz;1401 - 1600 cm3;76 - 100 HP;Sedan;4 boyalı
579.000 TL;Peugeot;301;1.6 HDi Active;2014.0;175.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;1 değişen, 2 boyalı
479.000 TL;Peugeot;301;1.6 HDi Active;2015.0;219.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;1 değişen, 4 boyalı
465.000 TL;Peugeot;301;1.6 HDi Active;2013.0;354.000 km;Düz;50 lt;Gri;1560 cc;93 hp;Sedan;2 değişen, 2 boyalı
939.500 TL;Peugeot;308;1.5 BlueHDI Style;2019.0;114.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;126 - 150 HP;Hatchback/5;Tamamı orjinal
1.099.990 TL;Peugeot;308;1.2 PureTech Style;2020.0;175.000 km;Otomatik;53 lt;Kırmızı;1199 cc;132 hp;Hatchback/5;Tamamı orjinal
449.000 TL;Peugeot;206+;1.4 HDi Urban Move;2012.0;272.000 km;Düz;50 lt;Beyaz;1398 cc;71 hp;Hatchback/5;1 değişen, 3 boyalı
1.079.000 TL;Peugeot;308;1.2 PureTech Allure Dynamic;2020.0;129.000 km;Otomatik;53 lt;Beyaz;1199 cc;132 hp;Hatchback/5;Tamamı orjinal
678.000 TL;Peugeot;301;1.6 HDi Active;2015.0;127.000 km;Düz;50 lt;Beyaz;1560 cc;93 hp;Sedan;1 değişen, 1 boyalı
1.439.000 TL;Peugeot;e-208;GT;2025.0;20.000 km;Otomatik;Elektrik;Gri;;136 hp;Hatchback/5;Tamamı orjinal
245.000 TL;Peugeot;206;1.4 XT;2001.0;234.000 km;Otomatik;50 lt;Gri;1360 cc;76 hp;Hatchback/3;1 değişen, 11 boyalı
445.000 TL;Peugeot;207;1.4 HDi Trendy;2011.0;342.500 km;Düz;50 lt;Beyaz;1360 cc;71 hp;Hatchback/5;Belirtilmemiş
995.000 TL;Skoda;Octavia;1.6 TDI Style CR;2015.0;199.000 km;Yarı Otomatik;50 lt;Beyaz;1598 cc;110 hp;Hatchback/5;8 boyalı
850.000 TL;Skoda;SuperB;1.6 TDI Prestige;2013.0;230.000 km;Yarı Otomatik;60 lt;Siyah;1598 cc;105 hp;Sedan;4 boyalı
638.750 TL;Skoda;Fabia;1.4 Scout;2012.0;79.025 km;Düz;45 lt;Kahverengi;1390 cc;85 hp;Station wagon;6 boyalı
950.000 TL;Skoda;SuperB;1.6 TDI Elegance;2012.0;209.000 km;Yarı Otomatik;60 lt;Beyaz;1598 cc;105 hp;Station wagon;1 değişen, 1 boyalı
1.010.000 TL;Skoda;Fabia;1.0 TSI Premium;2020.0;158.000 km;Otomatik;Benzin;Mavi;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
1.399.000 TL;Skoda;SuperB;1.6 TDI Prestige;2016.0;230.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1.035.000 TL;Skoda;Scala;1.6 TDI Premium;2020.0;203.000 km;Yarı Otomatik;50 lt;Gri;1598 cc;115 hp;Hatchback/5;4 boyalı
1.025.000 TL;Skoda;Octavia;1.6 TDI Style CR;2015.0;220.000 km;Yarı Otomatik;50 lt;Siyah;1598 cc;110 hp;Hatchback/5;Tamamı orjinal
1.310.000 TL;Skoda;Fabia;1.0 TSI Premium;2022.0;36.000 km;Yarı Otomatik;40 lt;Turuncu;999 cc;110 hp;Hatchback/5;Tamamı orjinal
1.639.999 TL;Skoda;SuperB;1.6 TDI Prestige;2016.0;195.000 km;Otomatik;Dizel;Şampanya;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
780.750 TL;Skoda;SuperB;1.6 TDI Ambition;2013.0;230.000 km;Düz;60 lt;Beyaz;1598 cc;105 hp;Sedan;2 değişen, 6 boyalı
1.100.000 TL;Skoda;Octavia;1.2 TSI Ambition;2017.0;119.000 km;Düz;Benzin;Beyaz;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;6 boyalı
1.460.000 TL;Skoda;SuperB;1.4 TSI Style;2015.0;133.000 km;Yarı Otomatik;66 lt;Beyaz;1395 cc;150 hp;Sedan;2 boyalı
1.210.000 TL;Skoda;Octavia;1.6 TDI Optimal;2019.0;138.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;2 değişen, 3 boyalı
925.000 TL;Skoda;Octavia;1.6 TDI Elegance CR;2013.0;272.000 km;Otomatik;Dizel;Gri;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Belirtilmemiş
1.279.000 TL;Skoda;Scala;1.0 TSI Premium;2022.0;115.000 km;Yarı Otomatik;50 lt;Beyaz;999 cc;110 hp;Hatchback/5;2 boyalı
1.160.000 TL;Skoda;Scala;1.0 TSI Elite;2024.0;7.000 km;Yarı Otomatik;50 lt;Gri;999 cc;110 hp;Hatchback/5;Belirtilmemiş
815.000 TL;Skoda;Rapid;1.2 TSI Spaceback Style;2016.0;112.000 km;Yarı Otomatik;55 lt;Kırmızı;1197 cc;90 hp;Hatchback/5;2 değişen
260.000 TL;Skoda;Fabia;1.2 Classic;2007.0;267.000 km;Düz;45 lt;Füme;1198 cc;64 hp;Hatchback/5;3 boyalı
1.759.750 TL;Skoda;SuperB;1.5 TSI Premium;2021.0;86.000 km;Yarı Otomatik;66 lt;Gri;1498 cc;150 hp;Station wagon;4 boyalı
1.300.000 TL;Skoda;SuperB;1.6 TDI Style;2018.0;120.000 km;Yarı Otomatik;66 lt;Beyaz;1598 cc;120 hp;Sedan;5 boyalı
1.280.000 TL;Skoda;Octavia;1.6 TDI Optimal;2018.0;118.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;3 boyalı
1.455.000 TL;Skoda;SuperB;1.6 TDI Prestige;2016.0;196.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Sedan;1 boyalı
949.000 TL;Skoda;Octavia;1.6 TDI Optimal;2016.0;203.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;2 değişen, 3 boyalı
1.365.000 TL;Skoda;Octavia;1.6 TDI Style;2018.0;176.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
1.545.000 TL;Skoda;SuperB;1.6 TDI Prestige;2016.0;187.000 km;Otomatik;Dizel;Gri;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
880.000 TL;Skoda;Octavia;1.6 TDI Elegance CR;2014.0;323.000 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;2 değişen, 8 boyalı
1.165.000 TL;Skoda;Octavia;1.4 TSI Style;2016.0;126.000 km;Yarı Otomatik;50 lt;Gri;1395 cc;150 hp;Hatchback/5;3 boyalı
889.000 TL;Skoda;Octavia;1.6 TDI Elegance CR;2012.0;183.000 km;Yarı Otomatik;55 lt;Beyaz;1598 cc;105 hp;Hatchback/5;Belirtilmemiş
1.158.000 TL;Skoda;Scala;1.0 TSI Premium;2022.0;187.000 km;Yarı Otomatik;50 lt;Gri;999 cc;110 hp;Hatchback/5;Tamamı orjinal
775.000 TL;Skoda;Octavia;1.6 TDI Ambiente;2011.0;278.000 km;Yarı Otomatik;55 lt;Beyaz;1598 cc;105 hp;Hatchback/5;1 boyalı
1.720.000 TL;Skoda;SuperB;1.6 TDI Prestige;2018.0;198.000 km;Yarı Otomatik;66 lt;Beyaz;1598 cc;120 hp;Sedan;Belirtilmemiş
1.235.000 TL;Skoda;Octavia;1.5 e-Tec Premium;2022.0;87.000 km;Yarı Otomatik;48 lt;Gri;1498 cc;150 hp;Hatchback/5;3 değişen, 6 boyalı
1.169.000 TL;Skoda;Scala;1.0 TSI Premium;2022.0;164.000 km;Yarı Otomatik;50 lt;Gri (Gümüş);999 cc;110 hp;Hatchback/5;Tamamı orjinal
1.045.000 TL;Skoda;Rapid;1.4 TDI GreenTec Style;2016.0;109.350 km;Yarı Otomatik;55 lt;Beyaz;1422 cc;90 hp;Hatchback/5;1 değişen
2.075.000 TL;Skoda;SuperB;1.6 TDI Prestige;2020.0;145.000 km;Yarı Otomatik;66 lt;Gri;1598 cc;120 hp;Sedan;Tamamı orjinal
435.000 TL;Skoda;Octavia;1.6 Elegance;2004.0;296.000 km;Düz;LPG & Benzin;Füme;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
700.000 TL;Skoda;SuperB;1.4 TSI Comfort;2009.0;245.500 km;Düz;60 lt;Kahverengi;1390 cc;125 hp;Sedan;3 boyalı
1.100.000 TL;Skoda;SuperB;1.6 TDI Prestige;2016.0;350.000 km;Yarı Otomatik;66 lt;Beyaz;1598 cc;120 hp;Sedan;1 değişen, 1 boyalı
225.000 TL;Skoda;Felicia;1.3 GLX;1997.0;312.000 km;Düz;42 lt;Beyaz;1289 cc;54 hp;Hatchback/5;Belirtilmemiş
1.270.000 TL;Skoda;SuperB;1.4 TSI Active;2017.0;103.000 km;Düz;60 lt;Beyaz;1395 cc;125 hp;Sedan;1 değişen, 1 boyalı
1.385.000 TL;Skoda;Octavia;1.6 TDI Style;2019.0;183.000 km;Yarı Otomatik;50 lt;Beyaz;1598 cc;115 hp;Hatchback/5;1 boyalı
300.000 TL;Skoda;Fabia;1.2 Classic;2004.0;229.750 km;Düz;45 lt;Füme;1198 cc;64 hp;Hatchback/5;1 değişen, 9 boyalı
185.000 TL;Skoda;Felicia;1.3 GLX;1997.0;240.000 km;Düz;42 lt;Kırmızı;1289 cc;54 hp;Hatchback/5;Belirtilmemiş
485.000 TL;Skoda;Octavia;1.6 Ambiente;2008.0;295.000 km;Düz;55 lt;Gri;1595 cc;102 hp;Station wagon;Tamamı orjinal
2.000.000 TL;Skoda;SuperB;1.6 TDI Prestige;2020.0;190.000 km;Yarı Otomatik;66 lt;Gri;1598 cc;120 hp;Sedan;Tamamı orjinal
1.150.000 TL;Skoda;Rapid;1.4 TDI Spaceback Style;2017.0;128.000 km;Yarı Otomatik;55 lt;Kırmızı;1422 cc;90 hp;Hatchback/5;Tamamı orjinal
3.150.000 TL;Skoda;SuperB;1.5 TSI Prestige;2024.0;11.000 km;Yarı Otomatik;66 lt;Gri (metalik);1498 cc;150 hp;Sedan;Tamamı orjinal
600.000 TL;Skoda;Fabia;1.4 Optimal;2012.0;270.000 km;Düz;45 lt;Diğer;1390 cc;85 hp;Hatchback/5;1 değişen, 9 boyalı
1.589.000 TL;Skoda;Octavia;1.5 e-Tec Premium;2021.0;138.000 km;Yarı Otomatik;48 lt;Mavi;1498 cc;150 hp;Hatchback/5;Tamamı orjinal
1.500.000 TL;Skoda;Octavia;1.6 TDI Style;2018.0;114.000 km;Yarı Otomatik;50 lt;Beyaz;1598 cc;115 hp;Hatchback/5;Belirtilmemiş
2.650.000 TL;Skoda;SuperB;1.5 TSI Prestige;2024.0;55.000 km;Otomatik;Hibrit;Gri;;;Sedan;Tamamı orjinal
1.200.000 TL;Skoda;Octavia;1.6 TDI Elegance CR;2016.0;200.000 km;Otomatik;Dizel;Beyaz;;;Sedan;1 değişen, 2 boyalı
935.000 TL;Skoda;Fabia;1.0 TSI Elite;2023.0;6.001 km;Düz;40 lt;Beyaz;999 cc;95 hp;Hatchback/5;2 değişen, 3 boyalı
150.000 TL;Skoda;Favorit;1.3 LX;1994.0;240.000 km;Düz;LPG & Benzin;Kırmızı;1289 cc;57 hp;Hatchback/5;Belirtilmemiş
265.000 TL;Skoda;Felicia;1.3 GLXi;1999.0;185.000 km;Düz;42 lt;Gri;1289 cc;68 hp;Hatchback/5;Tamamı orjinal
245.000 TL;Skoda;Felicia;1.6 GLXi;2000.0;292.000 km;Düz;42 lt;Bordo;1598 cc;75 hp;Hatchback/5;Tamamı orjinal
475.000 TL;Skoda;Octavia;1.6 Classic;2008.0;339.000 km;Düz;LPG & Benzin;Gri;1401 - 1600 cm3;101 - 125 HP;Sedan;5 değişen, 8 boyalı
949.000 TL;Skoda;SuperB;1.4 TSI Style;2017.0;298.000 km;Düz;66 lt;Beyaz;1395 cc;150 hp;Sedan;Belirtilmemiş
995.000 TL;Skoda;Fabia;1.2 TSI Style;2016.0;71.954 km;Yarı Otomatik;45 lt;Beyaz;1197 cc;110 hp;Hatchback/5;1 boyalı
1.720.000 TL;Skoda;SuperB;1.6 TDI Prestige;2016.0;172.000 km;Otomatik;Dizel;Beyaz;;;Sedan;1 değişen
1.375.000 TL;Skoda;Octavia;1.0 e-Tec Elite;2021.0;99.000 km;Yarı Otomatik;48 lt;Siyah;999 cc;110 hp;Hatchback/5;2 boyalı
650.000 TL;Skoda;SuperB;1.4 TSI Comfort;2011.0;257.000 km;Düz;60 lt;Kahverengi;1390 cc;125 hp;Sedan;Belirtilmemiş
1.250.000 TL;Skoda;SuperB;1.6 TDI Prestige;2014.0;221.000 km;Yarı Otomatik;60 lt;Beyaz;1598 cc;105 hp;Sedan;Belirtilmemiş
390.000 TL;Skoda;Fabia;1.4 Choice;2004.0;210.000 km;Düz;45 lt;Gri;1390 cc;100 hp;Hatchback/5;1 boyalı
950.000 TL;Skoda;SuperB;1.6 TDI Prestige;2011.0;260.000 km;Düz;60 lt;Siyah;1598 cc;105 hp;Sedan;Belirtilmemiş
1.700.000 TL;Skoda;SuperB;1.6 TDI Prestige;2016.0;162.000 km;Yarı Otomatik;66 lt;Beyaz;1598 cc;120 hp;Sedan;Belirtilmemiş
1.750.000 TL;Skoda;SuperB;1.6 TDI Style;2018.0;149.000 km;Yarı Otomatik;66 lt;Gri;1598 cc;120 hp;Sedan;Belirtilmemiş
1.099.999 TL;Skoda;Fabia;1.0 TSI Style;2021.0;198.000 km;Otomatik;Benzin;Mavi;;;Hatchback/5;1 boyalı
820.000 TL;Skoda;Rapid;1.4 TDI GreenTec Style;2015.0;206.500 km;Yarı Otomatik;55 lt;Beyaz;1422 cc;90 hp;Sedan;Belirtilmemiş
115.000 TL;Skoda;Favorit;135 LX;1994.0;171.000 km;Düz;47 lt;Kırmızı;1289 cc;54 hp;Hatchback/5;Tamamı orjinal
210.000 TL;Skoda;Felicia;1.3 GLXi;1999.0;215.000 km;Düz;LPG & Benzin;Gri;;;Hatchback/5;Belirtilmemiş
785.000 TL;Skoda;Rapid;1.4 TSI Spaceback Style;2015.0;158.500 km;Yarı Otomatik;55 lt;Beyaz;1395 cc;125 hp;Hatchback/5;2 değişen
699.999 TL;Skoda;SuperB;1.6 TDI Active;2012.0;233.333 km;Düz;60 lt;Beyaz;1598 cc;105 hp;Sedan;2 değişen, 3 boyalı
3.115.000 TL;Skoda;SuperB;1.5 TSI Prestige;2024.0;11.250 km;Otomatik;Benzin;Gri;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.370.000 TL;Skoda;SuperB;1.5 TSI Premium;2020.0;140.000 km;Yarı Otomatik;66 lt;Siyah;1498 cc;150 hp;Sedan;2 değişen, 3 boyalı
1.817.500 TL;Skoda;SuperB;1.5 TSI Elite;2019.0;107.000 km;Yarı Otomatik;66 lt;Gri;1498 cc;150 hp;Sedan;3 boyalı
2.950.000 TL;Skoda;SuperB;1.5 TSI L&K Crystal;2023.0;33.000 km;Yarı Otomatik;66 lt;Siyah;1498 cc;150 hp;Sedan;Tamamı orjinal
1.795.000 TL;Skoda;SuperB;1.5 TSI Prestige;2022.0;190.000 km;Yarı Otomatik;66 lt;Gri;1498 cc;150 hp;Sedan;1 boyalı
